nama,kalori,lemak,karbo,protein,lemak_jenuh,kolesterol_mg,sodium_mg,serat_g,gula_g,url,keyword
Soyburger tanpa Daging dengan Keju pada Roti,301,9.7,34.4,19.18,0.73,0.0,222.0,0.7,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/soyburger-tanpa-daging-dengan-keju-pada-roti,Daging
Daging Sapi Rebus dengan Kentang dan Sayuran dalam Saus Tomat,207,5.75,21.9,16.63,0.44,1.0,226.0,1.7,1.93,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-rebus-dengan-kentang-dan-sayuran-dalam-saus-tomat,Daging
Irisan Daging Babi (Ekstra tanpa Lemak),110,2.86,2.63,17.28,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/irisan-daging-babi-(ekstra-tanpa-lemak),Daging
Daging Sapi Panggang (Hanya Bagian tanpa Lemak yang Dimakan),198,8.52,0.0,28.32,6.81,76.0,217.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-panggang-(hanya-bagian-tanpa-lemak-yang-dimakan),Daging
Pasta dengan Saus Daging,329,13.06,33.33,20.22,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/pasta-dengan-saus-daging,Daging
Burrito dengan Daging Sapi dan Keju,790,39.51,63.69,42.2,6.98,72.0,784.0,2.0,1.26,https://www.fatsecret.co.id/kalori-gizi/umum/burrito-dengan-daging-sapi-dan-keju,Daging
Daging Dada Ayam (Ayam Pedaging),110,1.24,0.0,23.09,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dada-ayam-(ayam-pedaging),Daging
Daging Kambing Goreng,153,4.52,0.0,26.46,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-kambing-goreng,Daging
Daging Sapi Ekstra tanpa Lemak,248,15.35,0.0,25.71,7.19,88.0,400.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-ekstra-tanpa-lemak,Daging
Sosis Daging Babi dan Daging Sapi,51,4.71,0.35,1.79,1.5,7.0,146.0,0.0,0.33,https://www.fatsecret.co.id/kalori-gizi/umum/sosis-daging-babi-dan-daging-sapi,Daging
Daging Sapi Top Sirloin (Diiris Hingga 0.3 cm Lemak),189,11.13,0.0,20.68,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-top-sirloin-(diiris-hingga-03-cm-lemak),Daging
Fajita dengan Daging Sapi dan Sayuran,377,16.35,33.05,23.53,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/fajita-dengan-daging-sapi-dan-sayuran,Daging
Bahu Daging Babi Panggang,41,2.98,0.0,3.25,5.35,82.0,221.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/bahu-daging-babi-panggang,Daging
"Taco atau Tostada dengan Daging Sapi, Keju dan Selada",221,12.65,16.2,10.88,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-dengan-daging-sapi-keju-dan-selada,Daging
Pasta dengan Keju dan Saus Daging,361,16.99,31.41,19.75,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/pasta-dengan-keju-dan-saus-daging,Daging
Potongan Daging Babi,250,14.57,0.0,27.91,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/potongan-daging-babi,Daging
Pizza Kerak Tipis dengan Daging,223,11.16,20.56,9.72,4.3,21.0,462.0,1.6,3.06,https://www.fatsecret.co.id/kalori-gizi/umum/pizza-kerak-tipis-dengan-daging,Daging
Daging Sapi Gaya Oriental dan Sup Beras ( Pho Bo Vietnam),176,3.86,16.81,17.35,0.66,14.0,868.0,0.0,1.06,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-gaya-oriental-dan-sup-beras-(-pho-bo-vietnam),Daging
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",404,24.94,27.96,18.12,6.82,44.0,762.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-salad-dengan-daging-sapi-kacang-kacangan-dan-keju-dalam-tortilla-goreng-tepung,Daging
Enchilada dengan Daging Sapi,187,8.7,17.99,10.02,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/enchilada-dengan-daging-sapi,Daging
Bakso tanpa Daging,197,9.0,8.0,21.0,1.39,21.0,134.0,0.1,0.42,https://www.fatsecret.co.id/kalori-gizi/umum/bakso-tanpa-daging,Daging
"Daging Sapi Top Sirloin (Hanya Bagian yang tanpa Lemak, Diiris Hingga 0.3 cm Lemak)",127,3.54,0.0,22.27,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-top-sirloin-(hanya-bagian-yang-tanpa-lemak-diiris-hingga-03-cm-lemak),Daging
"Taco atau Tostada dengan Daging, Keju, Selada, Tomat dan Salsa",173,10.25,10.96,9.67,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-dengan-daging-keju-selada-tomat-dan-salsa,Daging
"Daging Babi (Pinggang Bagian Atas, tanpa Tulang)",144,5.89,0.0,21.35,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-(pinggang-bagian-atas-tanpa-tulang),Daging
Daging Sapi Luncheon,100,6.0,5.0,5.0,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/pronas/daging-sapi-luncheon/1-porsi,Daging
Daging Kornet,53,3.99,0.1,3.82,1.33,21.0,238.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-kornet,Daging
"Daging Dada Ayam (Ayam Pedaging, Dipanggang, Dimasak)",165,3.57,0.0,31.02,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dada-ayam-(ayam-pedaging-dipanggang-dimasak),Daging
Daging Menjangan/Rusa Rebus,190,3.93,0.0,36.08,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-menjangan-rusa-rebus,Daging
Daging Isi Tortelini,193,7.65,17.36,12.64,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/daging-isi-tortelini,Daging
Spageti tanpa Daging dengan Saus Tomat,293,3.99,53.62,9.87,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/spageti-tanpa-daging-dengan-saus-tomat,Daging
"Daging Sapi Sirloin Atas (Diiris Hingga 0.3 cm Lemak, Kelas Tinggi)",214,14.28,0.0,19.92,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-sirloin-atas-(diiris-hingga-03-cm-lemak-kelas-tinggi),Daging
"Taco atau Tostada dengan Kacang-kacangan, Keju, Daging, Selada, Tomat dan Salsa",151,7.85,12.54,8.12,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-dengan-kacang-kacangan-keju-daging-selada-tomat-dan-salsa,Daging
Pizza dengan Daging,265,12.14,27.68,10.64,4.3,21.0,462.0,1.6,3.06,https://www.fatsecret.co.id/kalori-gizi/umum/pizza-dengan-daging,Daging
Salad Pasta atau Makaroni dengan Daging,172,8.15,17.94,6.66,1.64,5.0,522.0,1.4,2.3,https://www.fatsecret.co.id/kalori-gizi/umum/salad-pasta-atau-makaroni-dengan-daging,Daging
Daging Kornet (Hanya Bagian tanpa Lemak yang Dimakan),52,3.14,0.0,5.69,1.33,21.0,238.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-kornet-(hanya-bagian-tanpa-lemak-yang-dimakan),Daging
"Taco Lembut dengan Daging Sapi, Keju dan Selada",257,11.65,23.57,13.47,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-lembut-dengan-daging-sapi-keju-dan-selada,Daging
